Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area
19-Dec,0.07,0.2,0.19,-0.55,-0.16,0.17,1.08,0.18,0.12,-0.63,0.18,0.05,0,-0.12,0.09,0.12,0.15,0.19,-0.37,0.05,0.11,2.75,0.44,0.05,0.23,0.33,0.17,0.15,0.12,0.11,0.27,0.15,0.17,0.1,0.1,0.43,0.16,0.46,0.19,0.34,-0.11,0.31,0.15,0.05,0.08,-0.16,-0.55,0.33,-0.23,0.12,0.28,-0.14,0.16,0.13,0.16
20-Jan,0.1,-0.11,-0.16,-0.35,-0.09,0.11,-0.05,0.07,0.09,-0.26,0.07,0.05,0.1,0.5,-0.06,0.17,0.21,-0.01,0.63,-0.13,0.35,0.1,-0.16,0.11,-0.15,0.22,0.12,0.07,0.16,0.06,1.67,0.08,0.15,-0.03,0.13,0.05,-0.06,0.36,-0.05,0.33,0.02,0.74,0.11,-0.07,0.04,-0.03,-0.63,0.13,0.26,0.14,0.1,-0.14,0.16,0.13,-0.01
20-Feb,0.06,-0.16,0.37,-0.4,-0.19,0.09,0.09,0.74,0.14,-0.29,0.13,0.1,0,0.12,-0.39,0.09,0,-0.18,0.38,0,0.26,0.36,-0.01,-0.37,0.01,0.35,-0.16,-0.08,0.11,0,-0.19,0.1,0.07,0.01,0.05,0.22,0.03,0.02,-0.02,0.05,-0.09,1,0.09,0.13,0,-0.03,-0.4,0.02,0.78,0.07,0.06,0.25,0.14,0.11,-0.01
20-Mar,-0.06,-0.19,0.07,-0.36,0.09,-0.08,0.4,0.07,-0.06,-0.41,-0.27,-0.1,-0.08,0.4,-0.1,-0.03,0.09,-0.12,0.1,0.78,0.11,3,-0.11,0,0.05,0.02,0.03,-0.54,0.05,-0.11,0.02,-0.04,-0.01,-0.08,0.02,0.09,-0.1,-0.16,-0.19,-0.15,-0.12,-0.02,-0.07,0.04,-0.1,-0.08,-0.27,-0.14,0.16,0.03,-0.06,0.25,0,0.02,-0.12
20-Apr,-0.3,-0.38,-0.29,-0.12,-0.22,-0.32,0.21,-0.12,-0.2,-0.32,-0.36,-0.3,0.13,0.03,-0.25,-0.31,-0.23,-0.61,0.08,-0.16,-0.13,-0.63,-0.43,-0.31,-0.36,-0.37,-0.36,-0.15,-0.31,-0.32,-0.47,-0.24,-0.27,-0.53,-0.23,-0.26,-0.49,-0.25,-0.36,-0.34,-0.23,-0.36,-0.25,-0.33,-0.24,-0.07,-0.22,-0.12,-0.18,-0.3,-0.34,-0.04,-0.31,-0.29,-0.37
20-May,-0.41,-0.56,-0.41,-0.47,-0.37,-0.53,0.57,-0.3,-0.32,-0.33,-0.45,-0.34,-0.22,-0.38,-0.41,-0.48,-0.31,-0.5,-0.48,-0.6,-0.33,-0.5,-0.63,-0.54,-0.23,-0.53,-0.39,-0.4,-0.43,-0.38,-0.59,-0.38,-0.42,-0.56,-0.44,-0.54,-0.45,-0.44,-0.51,-0.38,-0.34,-0.15,-0.35,-0.54,-0.45,-0.45,-0.37,-0.24,-0.3,-0.52,-0.43,-0.44,-0.46,-0.41,-0.51
20-Jun,-0.13,-0.2,0,0.01,0.05,-0.08,-0.06,0.2,-0.03,0.24,-0.03,0.01,-0.19,0.05,0,-0.19,0.06,0,0,-0.14,-0.07,-0.4,-0.13,-0.28,0.19,-0.2,0.01,0.15,-0.09,-0.02,-0.15,-0.08,0.02,-0.09,-0.12,-0.19,-0.11,-0.1,-0.01,0.16,0.17,-0.05,0.01,0.03,0.13,-0.04,0.1,0.02,0.23,-0.18,0.08,0.19,-0.15,-0.08,-0.08
20-Jul,0.06,0.07,0.83,-0.01,0.48,0.15,0.29,0.58,0.02,0,0.25,0.06,-0.01,0.09,0.35,-0.02,0.26,0.36,0.77,0.38,0.13,0.67,0.42,0.28,0.59,0.02,0.2,0.76,0.11,0.04,0.38,0.13,0.1,0.01,0.07,0.02,0.13,0.16,0.12,0.44,0.28,0.15,0.09,0.37,-0.04,-0.06,0.14,0.08,0.36,0.01,0.16,-0.03,0.04,0.12,0.15
20-Aug,0.15,0.04,0.46,-0.12,0.57,0.11,0.29,0.45,-0.05,-0.05,0.35,-0.16,-0.08,0.37,0.11,-0.05,0.33,0.38,0.33,0.12,-0.04,0.05,0.25,0.53,0.45,0.14,0.29,0.46,0.08,-0.02,0.08,0.1,0.1,0.29,-0.05,0.18,0.14,0.2,0.08,-0.1,0.15,0.14,-0.18,0.32,-0.08,-0.21,-0.02,0.26,0.54,0.07,0.04,0.3,0.04,0.09,0.11
20-Sep,0.21,0.32,1.22,0.15,0.26,0.35,0.05,0.81,0.09,0.29,0.22,0.19,-0.13,0.52,0.36,0.16,0.11,0.53,0.53,0.03,-0.21,1.19,0.62,0.25,0.49,0.31,0.58,1.3,0.28,0.21,0.37,0.2,0.33,0.9,0.12,0.3,0.41,0.5,0.36,0.27,0.28,0.4,0.12,0.27,0.23,0.36,-0.1,0.09,0.81,0.32,0.37,-0.11,0.23,0.25,0.34
20-Oct,0.2,0.11,0.53,-0.11,0.41,0.18,0.46,0.34,0.07,-0.06,0.32,0.13,0.38,0.29,0,0.13,0.18,0.19,1.27,0.08,-0.1,0.6,0.27,0.13,0.31,0.29,0.42,0.53,0.18,0.08,0.08,0.16,0.21,0.15,0.1,0.22,0.29,0.35,0.32,0.32,0.28,0.51,0.06,0.18,-0.03,-0.09,0.24,-0.07,0.47,0.02,0.04,-0.16,0.17,0.18,0.19
20-Nov,0.26,0.4,-0.03,-0.18,0.77,0.5,0.43,0.54,0.14,-0.39,0.03,0.27,-0.11,0.26,0.58,0.1,0.3,0.41,0.09,0.08,-0.12,1.33,0.31,0.28,0,0.25,0.27,0.88,0.23,0.23,0.55,0.17,0.23,0.29,0.19,0.34,0.28,0.39,0.34,0.28,0.01,0.7,0.17,0.14,0.11,0.09,-0.3,0.04,0.63,0.41,0.31,0.08,0.18,0.21,0.34
20-Dec,0.28,0.45,0.66,0.18,0.79,0.52,0.36,0.64,0.09,0.5,0.32,0.43,0.28,0.31,-0.08,0.31,0.36,0.6,0.75,0.57,-0.12,0.4,0.18,0.46,0.44,0.25,0.33,0.5,0.39,0.25,-0.06,0.28,0.3,0.54,0.26,0.35,0.36,0.03,0.31,0.11,0.5,-0.17,0.09,0.39,0.15,0.19,0.33,0.09,0.82,0.42,0.1,0.04,0.32,0.35,0.4
21-Jan,0.23,0.54,0.46,-0.17,0.69,0.28,-0.06,0.19,0.1,-0.25,0.08,0.24,0.18,0.18,0.24,0.15,0.21,0.17,0.69,0.35,-0.22,0.09,0.19,0.02,0.35,0.14,0.1,0.47,0.13,0.07,0.5,0.17,0.1,0.23,-0.08,0.42,0.35,0.01,0.47,0.24,-0.1,0.1,0.01,0.2,0.02,-0.22,0.24,0.06,0.21,0.07,0.05,-0.25,0.14,0.14,0.32
21-Feb,0.1,0.33,0.32,-0.1,0.04,0.18,0.58,0.1,0,0.33,-0.05,0.14,-0.13,0.3,0.82,0.14,-0.09,0.19,0.33,0.69,-0.34,-0.07,0.25,0.62,0.37,0.07,0.16,0.32,0.07,0,0.36,0.1,0.13,0.22,-0.13,0.23,0.12,0.17,0.24,0.27,0.29,-0.33,-0.28,0.08,-0.12,-0.16,0.96,0.12,0.23,0.07,0.15,-0.26,0.1,0.08,0.16
